abbr,State,HIV,Education,,Corr
AL,Alabama,38.4,44.6,,-0.558758204
AK,Alaska,42,41.2,,
AZ,Arizona,33.6,44.4,,
AR,Arkansas,34.1,45.6,,
CA,California,40.5,48.8,,
CO,Colorado,35,48.3,,
CT,Connecticut,35,44.3,,
DE,Delaware,39.1,45.2,,
DC,District of Columbia,69.3,38.6,,
FL,Florida,43.1,45.1,,
GA,Georgia,43.7,42.9,,
HI,Hawaii,31.1,44.6,,
ID,Idaho,28.8,45.5,,
IL,Illinois,29,46.2,,
IN,Indiana,30.4,42.7,,
IA,Iowa,24.7,51.6,,
KS,Kansas,26.5,49.8,,
KY,Kentucky,32.9,44.6,,
LA,Louisiana,43.4,41.7,,
ME,Maine,30.9,47.6,,
MD,Maryland,44.6,44.7,,
MA,Massachusetts,36.7,44.9,,
MI,Michigan,34.2,48.6,,
MN,Minnesota,26.5,47.9,,
MS,Mississippi,37.9,47.2,,
MO,Missouri,31,48.4,,
MT,Montana,31.6,45.1,,
NE,Nebraska,26,50.8,,
NV,Nevada,40.7,40.1,,
NH,New Hampshire,31,47.1,,
NJ,New Jersey,36,45.5,,
NM,New Mexico,32.6,47,,
NY,New York,45.5,46.3,,
NC,North Carolina,41.9,45.8,,
ND,North Dakota,25.6,52.9,,
OH,Ohio,29.8,44.1,,
OK,Oklahoma,24.9,43,,
OR,Oregon,35.1,49.8,,
PA,Pennsylvania,31.1,43.6,,
RI,Rhode Island,34.8,47.5,,
SC,South Carolina,37,46.2,,
SD,South Dakota,22.4,46.3,,
TN,Tennessee,39.5,42.3,,
TX,Texas,36.6,44.2,,
UT,Utah,21.6,50.2,,
VT,Vermont,31.2,46.6,,
VA,Virginia,41.1,47,,
WA,Washington,35.6,42.6,,
WV,West Virginia,32,43.6,,
WI,Wisconsin,28.3,46.5,,
WY,Wyoming,27.9,48.4,,
GU,Guam,32.4,,,
PR,Puerto Rico,43.5,52.5,,
UW,All States and DC (median) **,34.1,,,
US,"All States, DC and Territories (median) **",34.1,,,
